#{"t_start": 1753301393.756704, "env_id": "highway-fast-v0"}
r,l,t
13.018707,16,0.232801
23.063042,30,0.630482
1.849108,3,0.669668
16.68475,24,0.950211
8.052388,11,1.081219
7.297026,10,1.201795
2.485597,4,1.252331
9.996713,14,1.417732
1.766667,3,1.456186
9.066085,13,1.609356
17.231559,23,1.878145
13.279317,17,2.077705
2.046796,3,2.115922
16.649902,21,2.370078
3.648301,5,2.430895
14.043992,16,2.622704
3.013158,4,2.672295
2.251695,4,2.722234
2.246029,3,2.760174
8.516488,12,2.903921
8.579994,12,3.044621
9.362926,12,3.188922
20.282448,26,3.498338
4.366044,6,3.570381
3.235022,5,3.631498
1.766045,3,3.669951
14.530623,20,3.903168
2.013001,3,3.941971
4.430399,6,4.015538
3.09907,5,4.075281
2.533333,4,4.126224
8.629204,11,4.257047
22.496886,30,4.610311
7.499649,9,4.719188
13.380052,17,4.92024
10.229726,12,5.065002
8.59876,12,5.208072
12.21569,16,5.392626
13.677537,18,5.601874
19.196912,26,5.904662
4.233638,6,5.976996
21.517698,30,6.329741
16.411058,22,6.588519
6.133643,9,6.694693
7.745828,10,6.814505
3.630677,5,6.874888
10.830547,14,7.041248
23.408602,29,7.38415
2.946021,4,7.434303
8.647196,11,7.566673
6.632825,8,7.663462
5.446446,7,7.74903
3.581819,5,7.808964
15.00103,21,8.051929
3.882487,6,8.123271
7.364899,10,8.242844
4.065465,6,8.315736
4.379369,6,8.38888
12.651042,15,8.56444
3.919871,6,8.63835
11.864539,16,8.827126
1.882442,3,8.865099
1.879667,3,8.903022
5.851542,8,8.996957
6.778423,9,9.104201
3.482402,5,9.165095
4.782132,6,9.239437
8.446632,11,9.369985
8.118588,10,9.489649
17.018624,22,9.753234
16.310771,21,10.00333
7.496381,9,10.111618
4.85258,7,10.195917
8.350161,11,10.32532
7.299377,10,10.442985
22.88413,30,10.790443
13.843997,18,11.00291
8.016936,11,11.134389
13.146705,17,11.33389
14.61421,20,11.569126
18.780044,26,11.874515
1.882442,3,11.912458
9.879625,13,12.067634
7.033596,10,12.18693
12.966713,19,12.408258
5.846842,8,12.503081
22.409575,30,12.856286
1.765378,3,12.894143
6.16615,8,12.991794
6.318003,9,13.098803
11.045758,15,13.274172
2.933678,5,13.335942
7.179317,9,13.444719
4.579045,6,13.516703
8.949746,11,13.648303
7.27824,9,13.755903
3.349453,5,13.817041
1.946334,3,13.855662
19.527328,27,14.167852
1.915153,3,14.206705
8.266003,10,14.324407
9.715112,12,14.466946
1.879667,3,14.504722
6.450898,9,14.611828
7.568704,11,14.742135
4.512065,6,14.815958
2.086537,4,14.865573
13.833504,18,15.0877
11.250573,13,15.24229
19.316384,25,15.538899
16.849648,24,15.820694
12.71264,14,15.983434
9.563045,11,16.112095
22.849361,30,16.463259
17.518069,22,16.722021
20.986537,30,17.066114
13.978421,17,17.267833
8.644824,12,17.409783
9.199735,13,17.56235
6.178422,8,17.65961
13.513112,15,17.837978
1.984982,3,17.875315
1.9849,3,17.913639
15.313061,21,18.1606
8.364002,12,18.302909
10.099735,15,18.476907
5.112085,7,18.558453
8.932097,12,18.706332
6.05119,7,18.804197
10.166044,13,18.98069
13.598446,19,19.228229
25.211463,30,19.635723
16.051606,22,19.898602
8.885508,12,20.051683
6.478228,8,20.15989
4.912615,7,20.245189
8.798537,12,20.405819
1.049108,2,20.435339
2.000371,3,20.478452
14.882113,20,20.718882
3.347907,5,20.785303
3.683379,6,20.876892
15.664577,21,21.192947
11.096715,14,21.379871
17.909973,22,21.663244
2.845573,4,21.712424
21.611542,29,22.08945
9.665514,12,22.232322
11.099452,17,22.463119
6.598869,8,22.56282
6.585911,9,22.67329
18.180505,24,22.991116
13.384704,18,23.251261
9.2,12,23.428103
4.646129,6,23.519146
8.599631,10,23.668225
2.619667,4,23.724137
11.245145,15,23.928505
2.919281,5,23.993147
13.565356,17,24.224191
17.185342,25,24.520201
4.782436,6,24.598974
2.646796,4,24.650597
9.181572,13,24.806272
9.348285,11,24.944244
19.47873,26,25.554881
22.3482,30,25.934664
3.464757,5,25.998037
2.919907,5,26.060952
21.764892,30,26.423929
22.18405,30,26.799956
12.732718,19,27.048884
3.896881,5,27.122791
22.151399,30,27.521117
9.118081,13,27.681802
22.047877,30,28.046227
8.319023,12,28.191389
13.998808,20,28.421361
5.783947,7,28.506555
22.386414,30,28.889592
8.366965,10,29.020139
21.80026,30,29.397753
21.228385,26,29.706968
12.748296,16,29.905839
22.618667,30,30.285134
2.632397,4,30.343031
1.866044,3,30.388583
12.482791,18,30.651025
17.210719,22,30.944255
22.452265,30,31.354127
7.477756,9,31.486561
4.16422,6,31.57108
8.181659,10,31.708929
3.179825,4,31.76473
5.867717,8,31.874911
5.083875,7,31.966277
5.553511,9,32.076744
12.015149,15,32.258423
6.799433,10,32.378646
6.320221,9,32.502672
4.233373,6,32.590831
9.511225,11,32.734735
3.767011,6,32.812474
15.278213,17,33.02296
7.649349,11,33.176282
9.050812,11,33.311256
17.830548,25,33.600387
6.078873,8,33.698352
23.780435,30,34.051677
8.934123,13,34.207719
1.797688,3,34.245669
15.517879,21,34.490219
2.180129,3,34.532543
3.713118,5,34.598359
8.435645,11,34.733717
8.400002,11,34.868927
1.666667,3,34.906676
20.230102,27,35.230432
3.285914,5,35.291641
8.932749,13,35.443537
13.179265,16,35.631131
3.565378,5,35.692423
21.435415,30,36.062062
18.252188,25,36.356618
9.511051,12,36.501681
18.944764,24,36.779447
22.378439,30,37.132154
7.645507,10,37.251701
18.799426,27,37.569583
10.198756,13,37.725553
3.753,5,37.786592
5.767011,8,37.882857
5.686443,8,37.97947
4.631458,6,38.055249
13.319009,19,38.286229
2.663732,4,38.335643
2.76405,4,38.386039
8.685608,13,38.539487
14.697905,21,38.792539
1.931021,3,38.837256
1.884279,3,38.881792
3.232711,5,38.950552
1.846796,3,38.994666
3.945989,5,39.065316
18.614791,26,39.398151
1.979667,3,39.438731
22.60116,30,39.812326
9.269291,14,39.994339
16.046188,22,40.284381
12.913708,18,40.540466
9.017957,11,40.679808
9.3486,11,40.833913
21.386259,30,41.21465
8.101735,11,41.346045
2.433333,4,41.396374
6.699117,10,41.529414
8.515693,12,41.698513
22.529529,30,42.074781
7.945399,10,42.224567
21.751966,30,42.614932
20.18501,28,42.991664
3.183601,5,43.066152
6.549741,10,43.209179
21.677094,29,43.564995
15.097297,20,43.814906
9.828501,13,43.968543
1.067404,2,43.996071
7.114576,10,44.114626
2.76573,4,44.164696
7.230417,10,44.286225
15.079244,21,44.5364
4.565781,7,44.625424
21.866711,30,45.000349
22.482167,30,45.406381
21.719864,30,45.790782
4.253246,7,45.875456
8.065673,10,45.994112
11.680043,16,46.183168
5.120221,8,46.285212
3.879203,5,46.357512
1.919667,3,46.40292
4.515775,6,46.488634
7.315781,11,46.638594
20.885912,30,47.023091
7.112179,10,47.142224
1.846796,3,47.182989
4.632768,7,47.270091
21.585417,30,47.669635
21.117813,30,48.051057
3.386497,5,48.11233
8.812647,12,48.273244
16.910857,23,48.594226
7.564502,11,48.746048
4.853246,8,48.852983
8.011722,10,48.989235
6.68157,10,49.112789
3.446796,5,49.178306
3.619036,5,49.240695
7.365477,10,49.361411
3.232711,5,49.424371
5.079307,6,49.500049
21.484492,30,49.937253
7.984349,11,50.08922
2.013001,3,50.133333
8.878663,12,50.299169
1.880129,3,50.340984
7.845053,10,50.474584
24.585337,30,50.830678
3.732526,5,50.895211
20.078506,28,51.230186
7.650723,11,51.671855
23.218309,30,52.074179
2.631021,4,52.127668
21.453554,30,52.501079
14.435996,19,52.730517
13.06701,16,52.931439
4.348436,6,53.006388
1.832045,3,53.046712
22.032819,30,53.399417
4.129737,5,53.460616
1.981819,3,53.499179
21.118665,30,53.861864
2.433333,4,53.912746
12.217158,17,54.125966
20.586888,30,54.475096
6.247611,9,54.584064
8.434758,13,54.740616
20.76843,30,55.088633
22.851333,30,55.444352
5.401688,8,55.539874
1.313463,2,55.567636
21.51956,30,55.922828
22.951446,30,56.277702
8.898771,13,56.431349
5.733029,8,56.528155
21.167204,30,56.880661
22.311599,29,57.221975
7.112183,9,57.32828
21.964076,30,57.676784
7.297734,10,57.797309
6.713509,9,57.903733
7.835994,12,58.045925
21.434487,30,58.396973
21.947614,29,58.735151
20.032893,25,59.041731
9.846487,12,59.209543
22.652267,30,59.599474
11.965739,17,59.810625
22.585383,30,60.182177
18.831865,26,60.524618
18.750833,26,60.874358
15.265137,22,61.162659
17.829229,25,61.475523
3.350852,5,61.539121
17.752,25,61.840199
4.219022,7,61.927731
9.917604,15,62.103904
21.798383,30,62.461795
3.853249,6,62.542844
11.379779,13,62.705193
9.651684,13,66.953418
8.943689,11,67.086187
20.634758,30,67.434252
21.25119,30,67.847823
16.713331,22,68.14887
12.964229,17,68.385274
22.630001,30,68.788419
23.418039,30,69.20153
17.116698,25,69.543309
21.920215,30,69.949343
20.652943,30,70.359459
13.085653,18,70.594068
4.884445,7,70.686928
21.285684,30,71.114725
9.253554,14,71.312574
3.118326,4,71.37696
22.986225,30,71.76032
21.765749,30,72.122434
2.333026,4,72.181624
23.331819,30,72.597873
11.951278,17,72.823425
8.831531,11,72.959205
4.300351,7,73.048059
22.419253,30,73.463057
21.618945,30,73.843959
18.0777,25,74.139275
22.583537,30,74.497765
9.383402,12,74.643174
8.333678,11,74.77825
10.083377,14,74.966318
2.880129,4,75.030435
21.853555,30,75.476452
1.864354,3,75.517693
18.734439,26,75.836143
14.313692,20,76.091329
10.198452,14,76.275656
20.952042,30,76.63485
17.318139,23,76.936494
22.568331,30,77.357382
22.751426,30,77.76195
12.66484,18,77.973618
21.951737,30,78.338141
22.651968,30,78.760508
11.078309,16,78.952566
21.65189,30,79.322096
13.377269,18,79.536384
13.386888,19,79.772689
14.515779,20,80.025012
15.152887,22,80.302889
21.078983,28,80.670534
3.480129,5,80.739446
3.349108,5,80.804616
7.648828,11,80.9463
22.36514,30,81.298578
2.566362,4,81.355947
2.153097,3,81.400008
5.629736,7,81.497632
8.181859,11,81.648854
15.798756,20,82.177896
21.851022,30,82.556932
2.432711,4,82.607453
22.485056,30,82.963414
7.384219,9,83.073289
12.064275,18,83.304132
8.948528,13,83.47493
2.830717,4,83.531375
5.869322,9,83.649355
16.098564,24,83.933817
14.551431,20,84.175791
19.098137,26,84.490608
1.980129,3,84.529155
4.632512,6,84.605454
23.151971,30,84.957371
8.581923,10,85.077751
17.513466,25,85.378304
1.797688,3,85.416577
21.253554,30,85.768438
21.301691,30,86.120912
7.453054,10,86.239638
22.234482,30,86.600149
22.020216,30,86.959115
20.68595,30,87.310654
22.332715,30,87.666068
22.983242,30,88.057083
17.678272,25,88.373596
1.732711,3,88.412581
22.231822,30,88.799502
21.852591,30,89.157549
22.885926,30,89.53816
10.086121,14,89.727898
22.818133,30,90.103266
4.168982,7,90.199703
22.10146,30,90.553193
22.119868,30,90.915542
22.232175,30,91.291123
1.880129,3,91.333352
5.235138,7,91.419914
22.166713,30,91.810739
21.451922,30,92.196883
21.284085,30,92.555312
17.264313,23,92.827486
22.753554,30,93.193366
2.013463,3,93.236912
1.848486,3,93.284119
5.366667,8,93.412135
12.044192,17,93.663207
15.510951,20,93.940685
3.664354,5,94.011197
11.01667,16,94.217987
12.463109,15,94.402391
24.932375,30,94.759192
17.632064,24,95.048945
5.250438,7,95.132919
20.753516,30,95.492112
15.732528,23,95.773253
6.831558,10,95.8921
16.245037,20,96.127071
20.953555,30,96.490968
20.79906,28,96.818599
9.581208,13,96.974198
1.051567,2,97.001507
21.811051,30,97.355365
15.532099,21,97.59783
21.752933,30,97.944828
18.414576,26,98.249534
16.383584,23,98.521146
18.652049,26,98.831639
21.351424,30,99.185723
3.24969,5,99.250557
6.720221,11,99.38264
9.297074,13,99.537591
8.186888,12,99.68616
22.120221,28,100.01355
4.100345,6,100.090353
14.400532,21,100.342308
22.386265,30,100.696197
21.685103,30,101.049523
6.978402,8,101.148399
4.598847,7,101.236128
22.302352,30,101.585691
21.053286,30,101.933744
21.485917,30,102.285314
7.763732,11,102.416826
21.886882,30,102.766928
22.652804,30,103.129262
6.799341,10,103.267263
15.698858,22,103.570417
5.683602,8,103.675111
21.75141,30,104.049144
12.811345,16,104.260128
5.829732,8,104.360365
11.419327,18,104.574822
12.248486,15,104.753251
11.667011,17,104.953348
22.084446,30,105.315349
15.914022,21,105.568196
10.13358,14,105.736669
6.385993,10,105.857846
3.579825,5,105.920383
11.046842,14,106.089988
7.018694,11,106.221863
22.385592,30,106.571766
16.668045,24,106.859052
5.564838,8,106.956999
1.85164,3,106.995278
21.235069,30,107.628269
22.120181,30,107.978312
4.046452,5,108.041572
5.053548,8,108.137424
15.931771,21,108.390517
17.31101,23,108.660129
21.098797,30,109.005585
20.385387,30,109.361658
21.986888,30,109.750451
10.417801,15,109.942585
6.602657,9,110.063705
22.286221,30,110.420421
5.786882,9,110.534534
6.320221,10,110.659526
15.085645,22,110.925552
8.419598,13,111.103394
22.853167,30,111.4541
12.349996,18,111.678412
22.12022,30,112.043835
18.486494,27,112.388867
2.846021,4,112.445078
9.599472,13,112.602484
21.720221,30,112.968455
20.451241,30,113.368098
5.619592,8,113.467003
2.4,4,113.518953
11.319598,16,113.71268
18.245875,25,114.009066
21.914268,30,114.356873
18.063753,24,114.636181
22.918926,30,115.001155
23.152932,30,115.365245
22.486888,30,115.72126
16.051741,23,116.001817
23.946231,30,116.361702
3.696872,5,116.423887
21.984698,30,116.774303
21.62022,30,117.12543
22.51698,30,117.500444
21.116712,30,117.856627
22.485956,30,118.240023
1.182442,2,118.271255
23.249672,30,118.663469
21.552611,30,119.049612
14.549107,21,119.324304
23.349971,30,119.724012
23.250853,30,120.11945
22.818645,30,120.479507
7.153554,11,120.611284
8.696394,10,120.732866
8.933292,12,120.875978
20.785957,30,121.231
20.086888,30,121.609875
11.953554,18,121.848592
21.518699,30,122.252857
22.064313,30,122.653924
3.945358,5,122.726434
22.352931,30,123.125585
21.417286,30,123.518239
15.33279,22,123.801677
24.198885,30,124.188607
23.22022,30,124.572522
22.053555,30,124.941087
1.899377,3,124.97987
15.653555,23,125.258524
10.019566,15,125.436803
22.184535,30,125.786103
22.232029,30,126.136829
8.912855,12,126.28007
22.633684,30,126.652629
18.615152,25,126.963657
15.253549,21,127.227219
21.85324,30,127.630893
22.651464,30,128.030426
9.002657,13,128.197006
2.550892,4,128.249723
22.420221,30,128.612203
22.319023,30,129.033526
22.651392,30,129.403125
10.352931,16,129.607726
21.866709,30,134.146941
21.652931,30,134.498777
8.535065,11,134.630504
5.799699,9,134.739116
22.420221,30,135.093256
6.478823,8,135.195705
11.902663,15,135.382319
20.820221,30,135.731576
2.252655,4,135.78078
12.986213,19,136.009665
20.953243,30,136.363634
22.351454,30,136.711919
8.044836,11,137.14969
22.499422,30,137.515606
20.552661,30,137.874996
21.618709,30,138.246354
20.286888,30,138.602689
21.218712,30,138.95455
7.953158,10,139.079212
20.453555,30,139.453363
22.053549,30,139.799421
20.55266,30,140.164914
22.052661,30,140.535777
21.720178,30,140.886626
15.050618,22,141.146406
22.252017,30,141.516781
22.152881,30,141.882213
2.300304,4,141.93209
16.419946,24,142.237254
23.819603,30,142.621373
22.120221,30,142.973323
14.233379,20,143.214581
22.119598,30,143.570899
22.386579,30,143.925706
23.853555,30,144.281667
21.486843,30,144.640815
21.986226,30,145.005306
21.652886,30,145.354458
17.445829,23,145.635228
22.419295,30,146.022417
5.400737,7,146.120534
22.001764,30,146.473902
21.786888,30,146.822032
22.286888,30,147.177896
2.666667,4,147.228624
22.416083,30,147.57769
21.184077,30,147.927672
20.919913,30,148.274615
21.619907,30,148.625934
22.450613,30,148.977509
21.853509,30,149.333768
22.353507,30,149.688798
21.883945,30,150.039658
21.353555,30,150.399684
7.635373,12,150.545123
22.417564,30,150.902339
2.813158,4,150.952928
22.252227,30,151.308875
4.115734,6,151.382987
19.26423,25,151.680814
22.252926,30,152.039593
21.919914,30,152.39007
22.551408,30,152.747059
9.284135,13,152.905436
14.315198,20,153.144567
20.785665,30,153.492823
21.551962,30,153.849406
22.686584,30,154.200495
3.9687,6,154.27491
20.786888,30,154.631453
13.352623,19,154.857874
22.120221,30,155.213039
17.419872,25,155.506558
2.930717,4,155.556002
22.386265,30,155.904577
22.185686,30,156.254232
2.146334,3,156.292889
22.553085,30,156.645428
22.535996,30,156.989025
11.265514,16,157.177906
21.586849,30,157.521158
20.597065,29,157.858266
13.819281,19,158.081653
21.718999,30,158.434972
8.119557,12,158.576689
21.986888,30,158.92866
22.66933,30,159.276991
22.249416,30,159.63139
22.800571,30,159.978967
21.251428,30,160.347563
9.086275,13,160.503794
8.712542,11,160.634167
7.80204,11,160.765528
22.868095,30,161.113824
9.720221,14,161.285555
20.68688,30,161.910309
21.851698,30,162.271797
22.018706,30,162.626027
21.851929,30,162.971575
21.385995,30,163.325863
21.253555,30,163.670067
20.252617,30,164.023014
14.720221,23,164.287461
21.920181,30,164.641228
21.552894,30,164.989444
21.78658,30,165.350841
10.933293,16,165.540073
10.918664,16,165.727792
21.486882,30,166.076038
22.820221,30,166.434924
20.92022,30,166.78824
4.953208,8,166.885293
22.117575,30,167.243342
21.220221,30,167.603196
20.886885,30,167.950963
21.91961,30,168.310208
21.686264,30,168.66082
21.953555,30,169.012212
22.052623,30,169.364206
21.368395,30,169.715164
21.286888,30,170.064901
21.452307,30,170.425087
21.786888,30,170.777454
21.553514,30,171.127727
21.886888,30,171.47724
22.386888,30,171.82573
22.914251,30,172.180437
21.58569,30,172.528337
21.652317,30,172.878219
20.186888,30,173.237766
22.252932,30,173.58045
21.420182,30,173.922321
22.419598,30,174.289255
21.453552,30,174.678465
22.252672,30,175.08044
21.218429,30,175.468218
21.886888,30,175.821169
22.286888,30,176.205625
22.618699,30,176.605117
21.253555,30,177.002733
5.166709,8,177.112402
7.520221,12,177.269618
11.217909,17,177.49161
3.019764,4,177.549067
7.520215,12,177.693014
21.819327,30,178.039057
21.452617,30,178.384829
22.718004,30,178.736149
7.019019,10,178.857102
21.619913,30,179.210105
4.820221,8,179.307148
21.552659,30,179.653269
21.649969,30,180.008209
21.720221,30,180.369428
21.820175,30,180.722631
5.386888,9,180.831114
22.152319,30,181.179782
22.819598,30,181.532637
9.199426,13,181.684063
22.65266,30,182.035563
8.735996,13,182.191013
22.220215,30,182.542006
21.286888,30,182.887507
22.552585,30,183.237827
21.853555,30,183.586171
3.817602,6,183.660163
21.853553,30,184.007883
20.752543,30,184.354245
22.119023,30,184.719291
21.852943,30,185.07373
22.020221,30,185.432475
22.18595,30,185.780087
21.652931,30,186.129616
22.020221,30,186.765926
22.120221,30,187.122837
22.484576,30,187.482075
5.399457,8,187.57644
20.286888,30,187.931089
4.119912,7,188.017136
22.252656,30,188.365781
